,tweets,labels
24,واش رايكم خاوتي فالموهبة تاعي فالرسم,Algeria
25,و عليكم سالم و رحمتله و بركاته,Somalia
26,انكسار هذه الفترة ثقيل جدا خارت قواي,Syria
27,عمرها ما هتوحشني الحاجه الوحيده الي كانت حلوه في السنه إني عرفت ناس ومدرسين حلوين بس كدة,Egypt
28,يالي حاطه راس ابوكي ف الطين,Jordan
29,اللهم طهر قلبي من النفاق وعملي من الرياء ولساني من الكذب وعيني من الخيانة,Egypt
30,على قد ما العهد مفلس وموجوع من ضغط الثورة انجبر سليم جريصاتي يستقبل بقصر بعبدا وفد من الشباب الناجحين المتقدمين لمجلس الخدمة المدنية وأغدق عليهم الوعود وانو نحنا بأمركم وتكرم عينكم,Lebanon
31,عبالي تبقى للدوم وابد ماتبتعديوم,Iraq
32,صحتين وهنا بس من أين لك هذا أكيد انت عميل السفارة,Lebanon
33,وبجري اوام وبضحك قبل ما دموعي تبين كدب موضوعي وابان مجروحه تعبانهه,Egypt
34,بحق يوم عرفه ي الله اجعلنا خير سند لأهلنا واحبابنا واجعلهم لنا خير سكن واجعل لنا الخير فيما هوا قادم وأبعد عنا كل سوء,Egypt
35,قد تفاجئ بألوان جديدة عليك ولكنها مناسبة لك ألوان الصيف من كولورادو أختر,Tunisia
36,انا غلطان ان انا اكلتك جاتوه,Egypt
37,انا لله و انا اليه راجعون الله يرحمه و يصبر ذويه,Morocco
38,قال صلى الله عيه وسلمإنه ليغان على قلبي وإني لاستغفر الله في اليوم مائة مرة شاهد غرد بذكر الله دعاء لربي,Mauritania
39,ارجوكم انا تجاهلت مقطع الي يضرب البزر خمسين مره خلاص وقفوه قلبي يعورني ماقدر اتحمل هالمشاهد زيكم يالجحوش,Saudi_Arabia
40,هايلة يا نور هايلة,Egypt
41,في هذا الفيديو يظهر المدون محمد الأمين سيدي مولود ليشرح الأسباب التي دفعته للترشح فيما يوضح المدون كيف ستكون وسائل التواصل الاجتماعي أداة لتحقيق النصر كيف ترون أنتم ترشح المدونين الشباب للانتخابات,Mauritania
42,مثل آلقمر تعتلي صورتگ في سمآ ليلي,United_Arab_Emirates
43,لا كنت طالعة استلم الموبايل بتاعي من الريحاني بعد محضر الغش,Egypt
44,ليت المسافه تنطوي ليلة العيد ومن شوف عينك يبتدي عيدي,Oman
45,أبشع من الكذب تمثيل دور المحبه,Kuwait
46,,Algeria
47,يالهوى على كلامك يا بنتىى ربنا يخليكى ليا,Egypt
48,الأسود لا تتنبه عندما الكلاب تنبح,Algeria
49,دخلتي اسنان ب يعوض علينا ربنا والله يا بنتي ف المجموع اللي جبناه,Egypt
50,فارقه كتير اوي راجع فرق الزمن وظروف الحياه وهتعرف,Egypt
51,اشتاق لزولك وهو قدآمي,Syria
52,هموت يوما ما يا كوكو,Egypt
53,لقد نشرت صورة جديدة علي الفيس بوك,Iraq
54,هنالك فتاة كسيحة لا تستطيع المشي وقد أحبها إبن الجيران لطيبتها,Morocco
55,البدلاء حتى لو استغلوا نصف ثانية فزيزو سيحطهم احتياط الشهر الموالي للمهاجم الاسطوري ويقولك لازم يستغلو الدقايق,Morocco
56,بكرة الناس اللي بتقربك منهم وبعدين يبعدوا هما,Lebanon
57,والله متعه اهخ لو كملت,Saudi_Arabia
58,التقيكم بعد قليل مباراة برشلونة ريال مدريد كونوا على الموعد كبينة التعليق,Oman
59,هبصيلك حاجه خلاص يااد,Egypt
60,على علوم آلصدق وآلطيب سآهم وآليا لقيت إحسآن جآزه بآلأحسآن حآول تكون إنسآن رآقي وفآهم ومضة حرف,Yemen
61,جول مصطفى محمد أخويا,Egypt
62,اي والله وانشغل بالي عليكي كتير انا مابحكي مع حدا واختياري للصديق نادر ومابخطأ باختيار اصدقائي انتي الوحيدة الي بحكي معا,Iraq
63,قطر والسعودية وتركيا والفصائل التي تدعمها اعمل حالك ميت,Syria
64,أرى فرحا يعقب صبرا مريرا,Oman
65,خلي يجي ياخذ التك الثاني,Iraq
66,عندما زار هذا الخنزير السعودية أشعل المنطقة كلها,Algeria
67,ابقى قولى كدا للى بيعمل كدا قدامه هايكلك,Egypt
68,بازی فینال جام حذفی برگزار نمیشه انگار بخاطر اینکه تماشاچی های داماش نرفتن تو زمین پرسپولیس هم داره زور میزنه به تماشاچی داماش جا بدن همینقدر فشل همینقد مسخره,Iraq
69,ولن يخلف الله وعده,Egypt
70,اجتاز البكالوريا قبلي ب سنة من نفس الثانوية وفي نفس الشعبة وما زال يتحرك وكأنه شاب في العشرين تبقى حاير صور مأخوذة من صفحة بتصرف,Algeria
71,اني لما بنكمل,Libya
72,كنت صايم ع بنات حواء وفطرت ع عيونك,Egypt
73,يا رب في هذا الصباح امنح أحبتي أكاليل من الراحة و الهدوء وانثر السعادة على أبواب قلوبهم و طوقهم بالأمان و السكينة واجعل لهم من,Yemen
74,والله انها جميله,Libya
75,الله يرحمة ويرحم جميع شهدائنا فخرنا وعزنا,Iraq
76,في لايف أو شي,Tunisia
77,زيارة اسقطت الافنعة من كان جده مقاوم و من كان جده خماس شكرا للاخة فرنسا,Tunisia
78,يا رب إصلح حال مصر و إحفظ أهلها أجمعين,Egypt
79,ما شاء الله ربي ايزيد ويبارك خيرات من ربي وفرحة الانتصار قريبه يارب,Libya
80,واثقه من نفسيها الجزمه,Morocco
81,ما المقصود بالكفالة الاتفاقية هي تلك الكفالة التي ينشأ التزام المدين بتقديمها من اتفاق سابق بين هذا المدين,Iraq
82,ه انا كيوت شكل بس يوم يعرفوني ينسو كلمت كيوت,Iraq
83,مجرد ذووق شريان الديحاني,Oman
84,الله يسلمك ياشيخ محمد,Saudi_Arabia
85,الصبر له مذاق سيء و لكن نتائجه جميلة لعل بعد هذا الانتظار فرجا يا رب,Saudi_Arabia
86,انا نفسي كل الي سامعني يحس بقلبي الي واجعني من كتر الغدر,Egypt
87,باقي كم كيكه وادخل رقم جديد رت ومردوده,Iraq
88,اللهم آمين جميعا يارب,Egypt
89,ألم يخبرك إمامك أن التنابز بالألقاب حرام,Algeria
90,حبيبي يخليلي يااكيي,Tunisia
91,بسم اللٰہ الرحمٰن الرحیم,Somalia
92,ان الحياة صغيرة بالنسبه لي صغيرة للحد اللذي يجعلني لا أحمل بداخلي غير السلام,Iraq
93,بس اللي امصور الصوره امعلم,Libya
94,عيل ليش اللي ف دي ام يقولون انه لازم انحط صورنا عصب ع الفاضي حسبي الله,United_Arab_Emirates
95,فكرة جديرة بالطرح أعتقد أنه يلزم عقد ورشة عمل لدراسة الفكرة وطرح الإيجبيات والسلبيات من قبل المعنيين,Saudi_Arabia
96,عاده فيك تريد تغييرها,Egypt
97,الدستور ينص عليه فقط لكنه لا يحدد له رقم بعينه,Egypt
98,,Egypt
99,حضرتك انا وبلا فخر الكبايه بتدخل اوضتي بتطلع منها بعد شهرين ده لو حد شافها,Egypt
100,لا يوجد ما هو اجمل من الصديق فلا تخلط الامور بين رفيق و صديق مثلهما كمثل الحب الحقيقي و الحب العابر الثاني تجده في أول شخص تعجب به يدوم لمدة ما ان تبدأ المصاعب يأخذ كل طريقه اما الأول فمهما اشتدت و,Algeria
101,مو قلت الحبيب,Oman
102,حاجه زي هك شكلها لآزام تأخذ حقك,Libya
103,ناجح ومنقول للصف الثالث,Egypt
104,وانا بعزك جدا جدا وبحبك في الله جدا,Egypt
105,صراحة صايره أحب البرود اللي صاير فيني اللي مخليني لا اعاتب ولا افضفض بس اكتم وانام,Saudi_Arabia
106,رب أسألك خير ما في هذا اليوم وخير ما بعده,United_Arab_Emirates
107,صدق الله العظيم,Morocco
108,يسلموا يا بوب,Egypt
109,قلبي وتر في ربابه بيغني على ليلاه,Egypt
110,ما بعرف بس كأنو اليوم أبرد يوم,Syria
111,لازم ي مان أصلا كان م رقدت م بترتاح,Yemen
112,لتحرير طرابلس ومتى تتوقعون استكمال المعركة وما الذي أعاق تقدم قوات الجيش طيلة هذه القترة هذه حرب لتحرير عاصمة يقطنها قرابة مليوني نسمة وليست مشروع مقاولات يمكن أن نضع له جدولا زمنيا محددا حرب في مواجهة مجموعات إرهابية متطرفة وأخرى مليشياوية إجرامية أتاحت لها الظروف,Libya
113,شيء إليك يشدني لم ادر ما هو منتهاه يوما أراه نهايتي يوما أرى فيه الحياة فاروق جويدة,Oman
114,كانت المرأة الحامل جالسة تحت شجرة متعطشة للغاية وكانت بحاجة إلى الماء ولكن لم يكن هناك ماء فجأة رأت بعض قطرات الماء تتساقط من الشجرة أخذت فنجان وبدأت في الاستفادة من القطرات عندما وصل الماء إلى نصف الكأس وكانت,Egypt
115,يارب في يوم الجمعه ارحمنا من عقليات العيال الاندر ايدج اللي الواحد مابقاش فاهم هما كبار ولا عيال علشان عليا الحرام من ديني هموت حد منهم بدري,Egypt
116,انا رايحة بكرا لا,Egypt
117,كل الشكر لكم ايضا مع المتعة والبرنامج المتميز خصوصا بوجود الأخ حسام الحارثي,Syria
118,من اختار لك اسمك أبوي الله يرحمه,Bahrain
119,لا تكفوا عن الدعاء ف الله يعطي بلا انتهاء,Egypt
120,الانوثه كانت على وشك الانقراض لكن تدخل بعض الشباب وانقذوها,Libya
121,و الما بتحبيهم بتتعاملي معاهم كيف,Sudan
122,يا برعي يعمل او ميعملش دي بتاعتوا هوا مش بتاعت اي حد انا اللي ليا واحد غلط و بيمثل سمعه بلد فالمفروض يتعاقب مش اكتر ولا أقل الموضوع بسيط اهو,Egypt
123,اذا بدي ضل عم فكر وما يجيني نوم لا عنجد رح تروح علي محاضرة الساعة,Syria
124,ده اللي يحب يبان في عنيه,Egypt
125,ايفون ينزل ب سبتمبر يوافق لعبوها صح نزلوا جهازهم الجديد بنفس يوم نزول الرواتب عندنا استغلال,Saudi_Arabia
126,الحظ جاي ضدي ديما,Tunisia
127,اسمع المسج الاخير مش مني بس بجد انا بنت مش جري,Tunisia
128,العب في الملعب يابابا وشف من اللي بيجلد الثاني انت ضعيف جدا بالملعب قوي خارج الملعب بالفزعات واللجان والحكام والفار,Saudi_Arabia
129,والله ولا أي ريأكشن,Morocco
130,سامي اكسيد الكربون,Morocco
131,يابني دينم انت في حتة تانية زي ااساقع بس قولي واحدة يا مونت,Egypt
132,بس خلاص متبرريش مش طيقااكيي,Syria
133,يا أيها الذين آمنوا اتقوا الله ولتنظر نفس ما قدمت لغد,United_Arab_Emirates
134,والفول عشان نطلعه وناكله,Egypt
135,وانا شاغل بالي انادي عليه وليالي كتير افكر فيه واحن اليه ولا داري,Egypt
136,في فترة الرئيس أحمد ول حمزة اكتشف عزيز أن المجموعة الحضرية عبارة عن تجمع للصفقات المدرة للدخل وأعتقد أن هذا هو السبب الرئيسي للضغط على أحمد ول حمزة لكي لا يترشح لرئاسة المجلس الجهوي حتى لا يكون منافسا جديا لمرشحته بنت عبد المالك,Mauritania
137,غياب الستراتيجية الصحيحة للبنك المركزي وللدولة عموما هو الدليل للتخبط الواضح في القرارات المتلاحقة التي لا جدوى,Iraq
138,تم استدعاء الكيني محمد جمال فقط لقائمة منتخب كينيا لمواجهة منتخب نيجيريا ف التصفيات الافريقية المؤهلة للكأس العالم,Oman
139,شهر إن شاء الله,Saudi_Arabia
140,بهلێ زۆر بهداخهوه,Iraq
141,وين اكو هيج دليم حلوين,Iraq
142,ما زالت طريق ضهر العين راسمسقا عند جامعة ال مقطوعة حتى الآن من قبل شبان المنطقة بالسيارات حيث يتجمهرون ويقفلون الطريق بسياراتهم,Lebanon
143,وعيت نقول في الاسم و كملت اليوم كله نقول فيه تقول تعويذه,Libya
144,اكيد تعبان باين عليك حسبتهم واحد واحد,Iraq
145,سالانیک,Iraq
146,أحب تفاصيل حكيك أحب وقتي معك,Iraq
147,هتوحشني يا منشن,Egypt
148,المواصلات ياخ المواصلات عليك الله المواصلات ازمه المواصلات,Sudan
149,انا عايشة في خيالي اكثر من الواقع,United_Arab_Emirates
150,من تصويري المتواضع جدا,Oman
151,وإن الإنسان يموت في نهاية المطاف من تراكم الأيام التي ابتلعها,Saudi_Arabia
152,تعطيني شي و أنت تضحك و الله ما اثق فيك حتى لو انك إمام مسجد,Oman
153,عيش تشوف عاشر تعرف كل واحد على حقيقته,Egypt
154,استغفر الله العظيم الذي لا اله الا هو الحي القيوم واتوب اليه,Algeria
155,ده انتي اي تدينا,Egypt
156,وسواء عيوب وسواء مزايا ايوه محتاجك معايا,Egypt
157,على هذه الأرض ما يستحق الحياة تردد إبريل رائحة الخبز في الفجر آراء امرأة في الرجال أول الحب عشب على حجر أمهات تقفن على خيط ناي وخوف الغزاة من الذكريات على هذه الأرض ما يستحق الحياة نهاية أيلول,Algeria
158,يا جماعه تخيل هو هيحصل بجد يعني,Egypt
159,بس انتي الكلية بتاعتك جميله اوي اه مهما بيمسحوا بينا البلاط كل يوم,Egypt
160,يوم يضحك ابوي يرتاح كل شي فيني يا ضحكتن جعل كل الخلايق فداها,Jordan
161,ي قلبي واحلى ريالية,Iraq
162,ذكرتني بأيام مغبره يا حماده,Saudi_Arabia
163,ياعم مش ناقصة شلل كفاية علينا زوما وتوموري في الفريق مش ناقصة علوق وبعدين اصلا تشيلسي فرقة علوق مفيهاش الا نص ملعب,Egypt
164,مكسد في الشمس شكلك,Tunisia
165,اللهم شعور أن أسجد لك شكرا و أقول قد جعلها ربي حقا,Saudi_Arabia
166,طيب انتي كدا ابتعدتي عن الشعب السوداني كلو,Yemen
167,لا حالي ايه انا خارج من حياة خششانه خالص انا بس اتفاجئت لما كمان عرفت السن لو تعرفي سن اللي بيكلمك هتبقى كارثه با,Egypt
168,وانت بخير مشكوور,Kuwait
169,كنت جايبه منين عشان يعمل إيه أجب أفصح,Egypt
170,أهم معركة هي تلك التي تخوضها مع نفسك وأرقى مستويات الشجاعة هي الشجاعة مع الذات,Algeria
171,الله يستر على عيالنا واحبابنا من هالعماله شيء مخيف خادمه اثيوبيه تغدر بطفل كفيلها,Bahrain
172,هذا جيل يحب المسخره للأسف لو تتعامل معاه جد ما يتقبلك,Bahrain
173,صباح الخير لابد ان تعلم ان هناك أشخاص و تجارب أنت لا تعلم بعد انك ستحبها,Egypt
174,الليبيين انظحك عليهم في ال دمرو ليبيا اورقدو اوعاجبتهم العيشه في ذل وامهانه,Libya
175,فالوت کردم عزیزم,Yemen
176,اللهم سخر لنا من يحمل لنا الحب قولا وفعلا ف غيابنا تماما كما ف الحضور,Egypt
177,وفقكم الله استاذي الكريم ونبارك لكم تدشين الهوية الجديدة ومن تطور إلى آخر بإذن الله,Iraq
178,الشي واضح و جلي,Tunisia
179,نشاط وحيوية المشاركين لخوض منافسات قوية في جائزة رأس الخيمة للقرآن الكريم,United_Arab_Emirates
180,تشريك المواطن في الشأن العام أكبر ضمان للأستقرار,Tunisia
181,و يسفر قلبي بشوفك يعيد ويبتدي عامه,United_Arab_Emirates
182,اليوم المود ماش من صحيت عاد اتحملوا الحلطمه,Egypt
183,تعجبني مصاحبة الناس البسيطة الذين لا يفتخرون بشيء في هذه الحياة سوى أخلاقهم ولا يهمهم من هذه الدنيا سوى الإبتسامة والتواضع مساء النور,Palestine
184,فجأه طارت النوده ولا ردت لي الشمس تشرق تقريبا,Qatar
185,عجزت افهم السبب اللي يخليني ارسل لنفسي سنابه وانتظرها تتحمل عشان اشوفني,Saudi_Arabia
186,اسمعوا انا صح,Saudi_Arabia
187,الله يخربيت لعب الكورة يا جدعان الواحد رتجع مقتول,Egypt
188,وللناس اللي ف حالها اللي فضولها مش بيموتها ومش بتدخل في تفاصيل غيرها,Egypt
189,المباراة القادمة النادي الرياضي المكناسي شباب مريرت القسم الوطني هواة الجولة الأحد دجنبر الساعة الملعب الشرفي مكناس,Morocco
190,اكتبيه في قوقل سناب مها الصيعري,Syria
191,يسلم راسك فيصل بأذن الله يرجع مثل قبل ويرجع الكلاسيكو العظيم,Bahrain
192,أتدرين ما هو الوطن يا صفية هو مكان بلا جراحة بلا نسا بلا امتحانات,Yemen
193,تلبس كعب وتحاول تطول أكثر وتتضايق إليا قيل عنها قصيرة ماتدري إن البنت لاصارت أقصر من الرجال تصبح ب عينه آميره,Saudi_Arabia
194,لو في كلام يوصف مشاعري هقول واعيد ده انا جو قلبي كلام كتير,Morocco
195,والله احرف جيم لعبتو في حياتي كلها انتي الي حظك وحش مطلعش بوت,Egypt
196,حكام بلاد الحرمين يصدون عن المسجد الحرام بدون شك لكنني أظن منع نائب من التأشيرة أحسن من التأشير له و حبسه بعد ذلك و من يحبس رؤساء الدول سهل عليه حبس النواب و المعتمرين العاديين كامل التضامن مع محمد غلام,Mauritania
197,عرب هاذي حلوة مافيش عرب,Yemen
198,بعد بعد اغلق السريع مال الدورة و السريع مال التاجي و مال النهروان و حتة مال ابو غريب جمعة مغلقة,Iraq
199,وهذي كيف تجي عاد,Libya
200,الآن تدمير مدفع على ريف حماه جبهة المغير ولله الحمد,Syria
201,جمال ولد عباس يستقيل من منصبه كأمين عام لحزب جبهة التحرير الوطني,Algeria
202,البوم الكينج محمد منير كامل جديد,Egypt
203,جداا يعني ببقا حاسه ان الحاجه تحصل وتحصل فعلا,Egypt
204,احذوا أيها السودانيون,Jordan
205,المقطع اللي امس لغوها,Libya
206,قال مجاهد رحمه الله لا خير في صحبة من لا يرى لك من الحق مثل ما ترى له أمالي ابن سمعون,Iraq
207,هذا هو شيخنا الامام الزاهد سيدنا الشيخ احمد الطيب شيخ الاسلام امام أئمة المسلمين لايتقاضى راتبا مقابل عمله,Egypt
208,وضحكة منه ياسعود تمحي أحزاني,Iraq
209,عطونا طريقه نعدلو بيها النوم للعلم راقد الصبح وهذا وين نضت,Libya
210,الألوان الكثيرة تسبب تشويش على الزوج فلا يتمكن من الزواج الثاني ه على اليمنيين يتعلموا هذي المهارة,Yemen
211,في أزمة بالبلد بغض النظر عن دفاعك عن العهد السوبر قوي اصحاب المحطات صاروا متعاملين هزلت,Tunisia
212,انا نمت وتوني صاحي,Iraq
213,سيقف بعد غد الثلاثاء الناشط و المناضل الحاج غرمول للمحاكمة في محكمة معسكر بتهمة الإهانة غرمول شاب غيور خلوق متواضع سجن سنة قبيل الرئاسيات الحريه للحاج غرمول,Algeria
214,متابعيني انشرو اكاونتي فضلا وليس امرا من قال تم,Kuwait
215,افتح حساب جديد,Algeria
216,بديت تغيب عن دنياي كثر ماكنت لي فيها,Morocco
217,تقريبا كنديرها د لمرات فالسنة والله حتى ياسلام كنصح الجميع يديرها ولكن اصحاب مراكز الحجامة كثرو بزاف ديما خاصك تختار الكفؤ ولي عندو سمعة حسنة ويكون عندو كلشي معقم وبصحتكم,Morocco
218,طبق الاصل تلاوة الدوسري ربي يحفظك,Libya
219,كلنا محمد بن زايد أبو خالد الله يطول بعمره,United_Arab_Emirates
220,قمر حتي فالبطاقة,Egypt
221,تروحي من هناك وتجين هينا,Iraq
222,الله يرحم الشهداء ويشافي الجرحى وبعد هذا لا يأتي كلب ليدافع عن ارهابيي الغوطة,Iraq
223,فيكي تفرجينا قائمة البلوك عندك,Syria
224,يارب استحلفتك بضعفي وقوتك وأقسمت عليك بعجزي واقتدارك إلا جعلت لي مخرجا من ظلمتي إلى نوري ومن نوري إلى نورك سبحانك لا إله إلا أنت,Egypt
225,الحب كالموت,Tunisia
226,وخلف صعيب ما يلقاه مرء وما يرمى عليه من الصعاب وما يبدو له كخسوف بدر ينير بليله كل الحقاب وما نكثت كفوف اليوم وعدا يكون لأمسه معنى الإياب فبعض الرض يبقي النبع أحلى كبعض الحزن تطبيب المصاب نهى علي,Syria
227,اصحابك قاطعين شديد,Yemen
228,غبي ابن غبي,Iraq
229,كنت سأغفر لك لو اعتذرت أردت أن اغفرلك حقا,Saudi_Arabia
230,الموج يعرف مرساه ولم نعرف للبعد نهايه,Egypt
231,هو الله الذي لا إله إلا هو عالم الغيب والشهادة هو الرحمن الرحيم الحشر,Saudi_Arabia
232,اشتاق دائما وهذا لا يبدو مطمئنا على كل حال,Saudi_Arabia
233,باسمك اللهم أموت وأحيا,Libya
234,ولسة شايلين جوانا كلام متقالش لحد,Egypt
235,مش معني اننا بنهرج مع الناس وبنضحك عالطول يبقي بالنا رايق ودماغنا فاضية كل واحد فيه اللي مكفيه وساكت وكاتم ف نفسة والله,Egypt
236,اللهم إني استودعتك أخي وعائلتي فردا فردا يا من لا تضيع عندك الودائع احفظهم فوق كل أرض وتحت كل سماء يارب العالمين,Oman
237,بايش عبد المجيد في تهنئتنه لعرسان جمعية العلماء المسلمين شعبة بشار,Algeria
238,اغار حتى من قهوته لا اريد ان يعدل مزاجه احد غيري,Iraq
239,احساس جميل عندما يقال لك اعتني بنفسك لكن الاجمل عندما ياتي من يقول لك سوف أعتني بك,Iraq
240,حفظت الويوه وحفظو ويهي,Kuwait
241,مفيش غياب بيضعف الغياب يا بيقوى يا بيقسى وبس,Egypt
242,عاشت مدينة الشامي غربي موريتانيا يوما داميا أمس الأحد إثر مقتل شخصين وإصابة أكثر من عشرة آخرين في حادثين,Mauritania
243,كان النبي صلى الله عليه وسلم إذا أتاه أمر يسره قال الحمد لله الذي بنعمته تتم الصالحات,Syria
244,اخر جملة عجبتني كتير ولهيك زنزون من تمك لباب السما,Lebanon
245,اللهم ربنا ارزقنا إجابة الدعاء وصلاح الحال والأهل والمال والأبناء وبركة العطاء واكتب لنا محو الذنوب وستر العيوب ولين القلوب صباح الخير,Oman
246,و أحلى شيي كان بالسهرة وجودكك خصوصصا وقتت عم تصرخيلا ل ترقص,Tunisia
247,يسلم هذأ الصوط الجميل,Oman
248,انت من ناجي منك,Libya
249,السبوع الجاي تو ماشي سيارة,Oman
250,من فقد له غالي,Iraq
251,مجزره القياده العامه مجازر السودان وصمة عار في جبين الانسانية تبا لك يا ترمب وانت يا ماي وانت يا ميركل تبا لك يا ماكرون وانت يا بوتين ويا أبيي اللعنة عليكم يا عبدة الدولار وأنتم يا اللي مفيش أكلب منكم يا حكام العرب لو أن بصقة غزاوية سقطت على المستعمرات لأعلنتم الحرب العاشرة,Algeria
252,انا مش عارف انا بعمل كدا ليه والله بس كنت مندمج و بحاول اوصل للحن المطلوب,Egypt
253,محاضرة السيركت النهارده ربنا يستر,Egypt
254,الحراك في كلمات حاؤه حركية و حوار و حرية راؤه رفعة و راية ألفه ألفة و أمن و كافه كرامة,Algeria
255,رافا نادال استمتع بكرة القدم وأحبها لكن لا اذهب للكامب نو لماذا لانهم يصفرون علي,Iraq
256,لم أخشى مطلقا في يوم من الأيام من رجل متعلم إنما أتجنب هؤلاء الحمقى الذين يعتبرون أنفسهم علماء بعد قراءتهم بعض الكتب,Lebanon
257,لشهد كل سنة وهي قلبي,Egypt
258,عن عثمان بن عفان قال سمعت رسول الله صلى الله عليه وسلم يقول من صلى العشاء في جماعة فكأنما قام نصف الليل ومن صلى الصبح في جماعة فكأنما صلى الليل كله رواه مسلم,Libya
259,ومن يدين تركيا علی هجومها الوحشي لمدن كوردستان في سوريا والعراق وقتل وتشريد الابرياء اللهم عليك بالمنافقين الذين يكيلون بمكيالين,Iraq
260,كيف لعيناك بأن تحضن هدوء الأرض و فوضاها في آن واحد,Saudi_Arabia
261,حماس المقاومة التي تذلكم يا نجس,Iraq
262,لما بشوف بوستات الفيس بتاعة منشن لصاحبتك اللي نفسك تروحي معاها كذا أو تعملو مع بعض كذا مبلاقيش حد,Egypt
263,وانفعنا بما علمتنا وزدنا علما,Morocco
264,اللهم صل وسلم وبارك على سيدنا محمد حتى يرضى,Iraq
265,من كتر ما بقيت بقابل بقيت بحس اني بسمعها فأي حتة ماشية فيها,Egypt
266,انا صوت الحق العالى اللى مايعرف يوم خضوع,Egypt
267,حادثني يمكن انتظر حكيك,United_Arab_Emirates
268,من عرف مثلك تمنى تصير له خل وعشير,United_Arab_Emirates
269,من حمل وطنه في جيبه لا وطن له ولكن من حمل وطنه في قلبه وإرادته فوطنه ولو مهما توالت عليه الويلات والمحن فهو حي نحن قوم أحببنا الحرية ودون حرية لا يمكننا ان نعيش صليب لبنان ستكون قيامته أياريوم تاريخيبطريرك القضية اللبنانيةمار نصر الله بطرس صفيربكركيعائلة بحبك يا لبنان,Lebanon
270,بكى الرب يسوع كإنسان ثلاث مرات كما يخبرنا الكتاب المقدس بكى على قبر اليعازر بكى على اورشليم بكى في نزاعه الاخير في بستان الزيتون نسألك يارب ان تجفف دموع المحزونين والمقهورين وتقف جنب اولادك كما وقفت الى جانب,Egypt
271,سلمنا لرمضان وسلمه لنا وتسلمه منا متقبلا يالله,Iraq
272,ألف رحمة ونور على روحه الطاهرة,Algeria
273,يسلملي جمالك اليونان,Libya
274,الغطرسه والاستغلال الذي تستخدمه الشركات الربحية سينتهي بإرادتنا ولاكن يجب أن نكن يد واحده مقاطعه عمانتل واوريدو,Iraq
275,انا اقول عطيني سيارتج وروحي انتي بكريم انا بنت عمج راضية جذي اتبهذل,United_Arab_Emirates
276,للاسف مش بس,Egypt
